season,show_number,episode,viewers_in_millions,winner,runner_up,original_release,original_network,hosted_by,judges,finals_venue,rating
1,1,Auditions,9.85,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.20833333333333334
1,2,Hollywood Week,11.24,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.1923076923076923
1,3,Top 30: Group 1,10.3,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.1923076923076923
1,4,Top 30: Group 1 results,9.47,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.2127659574468085
1,5,Top 30: Group 2,9.08,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.2222222222222222
1,6,Top 30: Group 2 results,8.53,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.23809523809523808
1,7,Top 30: Group 3,10.28,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.18867924528301888
1,9,Wildcard Show,8.97,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.24390243902439027
1,10,Top 10 Perform,10.28,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.18867924528301888
1,11,Top 10 Results,9.39,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.20833333333333334
1,12,Top 8 Finalists,10.77,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.18181818181818182
1,13,Top 8 Results,9.13,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.22727272727272727
1,14,Top 7 Finalists,12.2,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.15873015873015872
1,15,Top 7 Results,10.2,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.2
1,16,Top 6 Finalists,12.2,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.16129032258064516
1,17,Top 6 Results,10.82,Kelly Clarkson,Justin Guarini,"June 11 (2002-06-11) –September 4, 2002 (2002-09-04)",Fox,Ryan Seacrest; Brian Dunkleman,Paula Abdul; Simon Cowell; Randy Jackson,Kodak Theatre,0.1923076923076923
