state,year,drivers
Alabama,1949,860025
Alabama,1950,851269
Alabama,1951,1134257
Alabama,1952,1146065
Alabama,1953,1070963
Alabama,1954,1056683
Alabama,1955,1201515
Alabama,1956,1251081
Alabama,1957,1328498
Alabama,1958,1330957
Alabama,1959,1324005
Alabama,1960,1320922
Alabama,1961,1329688
Alabama,1962,1391528
Alabama,1963,1478420
Alabama,1964,1582565
Alabama,1965,1689539
Alabama,1966,1554168
Alabama,1967,1598288
Alabama,1968,1613522
Alabama,1969,1686942
Alabama,1970,1740279
Alabama,1971,1800717
Alabama,1972,1805801
Alabama,1973,1851584
Alabama,1974,1902812
Alabama,1975,1944155
Alabama,1976,2083851
Alabama,1977,2122679
Alabama,1978,2159612
Alabama,1979,2209982
Alabama,1980,2271493
Alabama,1981,2315799
Alabama,1982,2316209
Alabama,1983,2393878
Alabama,1984,2472717
Alabama,1985,2461559
Alabama,1986,2544715
Alabama,1987,2773636
Alabama,1988,2097596
Alabama,1989,2843587
Alabama,1990,2752590
Alabama,1991,2937981
Alabama,1992,2977311
Alabama,1993,3008575
Alabama,1994,2860724
Alabama,1995,3456100
Alabama,1996,3138237
Alabama,1997,3387123
Alabama,1998,3434117
Alabama,1999,3445893
Alabama,2000,3521444
Alabama,2001,3559897
Alabama,2002,3577986
Alabama,2003,3598034
Alabama,2004,3613138
Alabama,2005,3637414
Alabama,2006,3665180
Alabama,2007,3691762
Alabama,2008,3753550
Alabama,2009,3782284
Alabama,2010,3805751
Alabama,2011,3798552
Alabama,2012,3827522
Alabama,2013,3859403
Alabama,2014,3881542
Alabama,2015,3907038
Alabama,2016,3943082
Alabama,2017,3954378
Alabama,2018,3999057
Alabama,2019,4026151
Alabama,2020,4042900
Alabama,2021,4061837
Alabama,2022,4087885
Alabama,2023,4087885
Alaska,1959,108889
Alaska,1960,109060
Alaska,1961,104868
Alaska,1962,96825
Alaska,1963,103869
Alaska,1964,111616
Alaska,1965,119338
Alaska,1966,107446
Alaska,1967,114563
Alaska,1968,128429
Alaska,1969,135194
Alaska,1970,141317
Alaska,1971,146572
Alaska,1972,153631
Alaska,1973,161188
Alaska,1974,179155
Alaska,1975,208397
Alaska,1976,213619
Alaska,1977,225781
Alaska,1978,220696
Alaska,1979,218856
Alaska,1980,217040
Alaska,1981,228477
Alaska,1982,258061
Alaska,1983,288739
Alaska,1984,305000
Alaska,1985,300000
Alaska,1986,310000
Alaska,1987,300000
Alaska,1988,300000
Alaska,1989,300000
